"","neighborhood","ofns_desc","count"
"267","Borough Park","HOMICIDE-NEGLIGENT-VEHICLE",1
"268","Borough Park","INTOXICATED & IMPAIRED DRIVING",366
"269","Borough Park","KIDNAPPING",4
"270","Borough Park","KIDNAPPING & RELATED OFFENSES",1
"271","Borough Park","KIDNAPPING AND RELATED OFFENSES",1
"272","Borough Park","MISCELLANEOUS PENAL LAW",676
"273","Borough Park","MURDER & NON-NEGL. MANSLAUGHTER",8
"274","Borough Park","NYS LAWS-UNCLASSIFIED FELONY",8
"275","Borough Park","OFF. AGNST PUB ORD SENSBLTY &",945
"276","Borough Park","OFFENSES AGAINST PUBLIC ADMINI",107
"277","Borough Park","OFFENSES AGAINST PUBLIC SAFETY",1
"278","Borough Park","OFFENSES AGAINST THE PERSON",33
"279","Borough Park","OFFENSES INVOLVING FRAUD",116
"280","Borough Park","OFFENSES RELATED TO CHILDREN",1
"281","Borough Park","OTHER OFFENSES RELATED TO THEF",38
"282","Borough Park","OTHER STATE LAWS (NON PENAL LA",8
"283","Borough Park","PETIT LARCENY",5417
"284","Borough Park","PETIT LARCENY OF MOTOR VEHICLE",18
"285","Borough Park","POSSESSION OF STOLEN PROPERTY",56
"286","Borough Park","PROSTITUTION & RELATED OFFENSES",2
"287","Borough Park","RAPE",80
"288","Borough Park","ROBBERY",610
"289","Borough Park","SEX CRIMES",432
"290","Borough Park","THEFT-FRAUD",276
"291","Borough Park","UNAUTHORIZED USE OF A VEHICLE",151
"292","Borough Park","VEHICLE AND TRAFFIC LAWS",569
"293","Brooklyn Heights/Fort Greene","(null)",1
"294","Brooklyn Heights/Fort Greene","ADMINISTRATIVE CODE",80
"295","Brooklyn Heights/Fort Greene","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",9
"296","Brooklyn Heights/Fort Greene","ALCOHOLIC BEVERAGE CONTROL LAW",1
"297","Brooklyn Heights/Fort Greene","ANTICIPATORY OFFENSES",1
"298","Brooklyn Heights/Fort Greene","ARSON",54
"299","Brooklyn Heights/Fort Greene","ASSAULT 3 & RELATED OFFENSES",4752
"300","Brooklyn Heights/Fort Greene","BURGLAR'S TOOLS",58
"301","Brooklyn Heights/Fort Greene","BURGLARY",1610
"302","Brooklyn Heights/Fort Greene","CANNABIS RELATED OFFENSES",1
"303","Brooklyn Heights/Fort Greene","CHILD ABANDONMENT/NON SUPPORT",2
"304","Brooklyn Heights/Fort Greene","CRIMINAL MISCHIEF & RELATED OF",5489
"305","Brooklyn Heights/Fort Greene","CRIMINAL TRESPASS",337
"306","Brooklyn Heights/Fort Greene","DANGEROUS DRUGS",963
"307","Brooklyn Heights/Fort Greene","DANGEROUS WEAPONS",551
"308","Brooklyn Heights/Fort Greene","DISORDERLY CONDUCT",4
"309","Brooklyn Heights/Fort Greene","ENDAN WELFARE INCOMP",3
"310","Brooklyn Heights/Fort Greene","ESCAPE 3",2
"311","Brooklyn Heights/Fort Greene","FELONY ASSAULT",2090
"312","Brooklyn Heights/Fort Greene","FELONY SEX CRIMES",6
"313","Brooklyn Heights/Fort Greene","FORGERY",574
"314","Brooklyn Heights/Fort Greene","FRAUDS",213
"315","Brooklyn Heights/Fort Greene","FRAUDULENT ACCOSTING",6
"316","Brooklyn Heights/Fort Greene","GAMBLING",9
"317","Brooklyn Heights/Fort Greene","GRAND LARCENY",5637
"318","Brooklyn Heights/Fort Greene","GRAND LARCENY OF MOTOR VEHICLE",598
"319","Brooklyn Heights/Fort Greene","HARRASSMENT 2",7809
"320","Brooklyn Heights/Fort Greene","HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
"321","Brooklyn Heights/Fort Greene","HOMICIDE-NEGLIGENT-VEHICLE",1
"322","Brooklyn Heights/Fort Greene","INTOXICATED & IMPAIRED DRIVING",302
"323","Brooklyn Heights/Fort Greene","INTOXICATED/IMPAIRED DRIVING",1
"324","Brooklyn Heights/Fort Greene","JOSTLING",2
"325","Brooklyn Heights/Fort Greene","KIDNAPPING & RELATED OFFENSES",16
"326","Brooklyn Heights/Fort Greene","LOITERING/GAMBLING (CARDS, DIC",1
"327","Brooklyn Heights/Fort Greene","MISCELLANEOUS PENAL LAW",1600
"328","Brooklyn Heights/Fort Greene","MURDER & NON-NEGL. MANSLAUGHTER",17
"329","Brooklyn Heights/Fort Greene","NEW YORK CITY HEALTH CODE",2
"330","Brooklyn Heights/Fort Greene","NYS LAWS-UNCLASSIFIED FELONY",35
"331","Brooklyn Heights/Fort Greene","NYS LAWS-UNCLASSIFIED VIOLATION",1
"332","Brooklyn Heights/Fort Greene","OFF. AGNST PUB ORD SENSBLTY &",2198
"333","Brooklyn Heights/Fort Greene","OFFENSES AGAINST PUBLIC ADMINI",601
"334","Brooklyn Heights/Fort Greene","OFFENSES AGAINST PUBLIC SAFETY",2
"335","Brooklyn Heights/Fort Greene","OFFENSES AGAINST THE PERSON",154
"336","Brooklyn Heights/Fort Greene","OFFENSES INVOLVING FRAUD",67
"337","Brooklyn Heights/Fort Greene","OFFENSES RELATED TO CHILDREN",1
"338","Brooklyn Heights/Fort Greene","OTHER OFFENSES RELATED TO THEF",158
"339","Brooklyn Heights/Fort Greene","OTHER STATE LAWS",2
"340","Brooklyn Heights/Fort Greene","OTHER STATE LAWS (NON PENAL LA",23
"341","Brooklyn Heights/Fort Greene","PETIT LARCENY",12546
"342","Brooklyn Heights/Fort Greene","PETIT LARCENY OF MOTOR VEHICLE",10
"343","Brooklyn Heights/Fort Greene","POSSESSION OF STOLEN PROPERTY",135
"344","Brooklyn Heights/Fort Greene","PROSTITUTION & RELATED OFFENSES",2
"345","Brooklyn Heights/Fort Greene","RAPE",110
"346","Brooklyn Heights/Fort Greene","ROBBERY",1475
"347","Brooklyn Heights/Fort Greene","SEX CRIMES",628
"348","Brooklyn Heights/Fort Greene","THEFT OF SERVICES",15
"349","Brooklyn Heights/Fort Greene","THEFT-FRAUD",480
"350","Brooklyn Heights/Fort Greene","UNAUTHORIZED USE OF A VEHICLE",136
