"ofns_desc","Incident_Count","year","boro_nm"
"HARRASSMENT 2",4646,2022,"STATEN ISLAND"
"PETIT LARCENY",3882,2022,"STATEN ISLAND"
"CRIMINAL MISCHIEF & RELATED OF",2360,2022,"STATEN ISLAND"
"ASSAULT 3 & RELATED OFFENSES",2198,2022,"STATEN ISLAND"
"GRAND LARCENY",1293,2022,"STATEN ISLAND"
"OFF. AGNST PUB ORD SENSBLTY &",1098,2022,"STATEN ISLAND"
"MISCELLANEOUS PENAL LAW",1049,2022,"STATEN ISLAND"
"FELONY ASSAULT",780,2022,"STATEN ISLAND"
"VEHICLE AND TRAFFIC LAWS",699,2022,"STATEN ISLAND"
"GRAND LARCENY OF MOTOR VEHICLE",510,2022,"STATEN ISLAND"
